time,text,url,retweet_count,favorite_count
Wed Sep 29 17:00:14 +0000 2021,"#CongressBreaksApart | Congress' days are over; it's in ICU, proclamation can come any time: M. R. Venkatesh, Polit… https://t.co/VHFWDlXVsS",https://twitter.com/i/web/status/1443259334629023747,4,48
Wed Sep 29 16:59:22 +0000 2021,"#CongressBreaksApart | Today there's infighting within the Congress, they want to improve the party; nobody is spea… https://t.co/ebghxreis3",https://twitter.com/i/web/status/1443259118605660160,6,33
Wed Sep 29 16:58:24 +0000 2021,Probe finds over 80 alleged sexual abuse cases connected to WHO's Ebola work in Congo https://t.co/Y6u0Ng2kXO,https://www.republicworld.com/world-news/africa/probe-finds-over-80-alleged-sexual-abuse-cases-connected-to-whos-ebola-work-in-congo.html,10,22
Wed Sep 29 16:56:25 +0000 2021,"#CongressBreaksApart TMC's a national party recognised by EC. We are not enemy of Congress, but they need to keep y… https://t.co/7gBYZev7ug",https://twitter.com/i/web/status/1443258375353999362,12,60
Wed Sep 29 16:51:44 +0000 2021,"#CongressBreaksApart | Like Congress, every institution sometime passes through such a phase in a long journey... R… https://t.co/3d5s8hO9Cl",https://twitter.com/i/web/status/1443257197157257230,5,29
Wed Sep 29 16:51:06 +0000 2021,"#CongressBreaksApart | Today there's infighting within the Congress, they want to improve the party; nobody is spea… https://t.co/xjTb6QWOmb",https://twitter.com/i/web/status/1443257036515393538,7,61
Wed Sep 29 16:48:05 +0000 2021,"#CongressBreaksApart TMC's a national party recognised by EC. We are not enemy of Congress, but they need to keep y… https://t.co/PEEkZuMykH",https://twitter.com/i/web/status/1443256277426049024,8,46
Wed Sep 29 16:45:51 +0000 2021,"#CongressBreaksApart | We've all seen how Congress has completely withered away: Rajat Sethi, Political Analyst &amp; A… https://t.co/x7VRlF3thd",https://twitter.com/i/web/status/1443255716987359236,12,69
Wed Sep 29 16:44:46 +0000 2021,"#CongressBreaksApart | In 1948, Gandhiji had spoken of the winding up of the Congress party; he had suggested an al… https://t.co/Amljy0DMcx",https://twitter.com/i/web/status/1443255440897306624,11,85
Wed Sep 29 16:44:12 +0000 2021,#CongressBreaksApart | Every institution sometime passes through such a phase in a long journey... Regional parties… https://t.co/uo7tpH7hG2,https://twitter.com/i/web/status/1443255299737993216,3,29
Wed Sep 29 16:42:21 +0000 2021,"#CongressBreaksApart | The Debate with Arnab is now #LIVE, on-air and online, here - https://t.co/NWgtMkjnrK https://t.co/XsVNSpy62e",https://youtube.com/watch?v=xtoOK86mW8Y,20,128
Wed Sep 29 16:42:10 +0000 2021,United Nations concerned over deteriorating living conditions of Syrians in Lebanon https://t.co/vdTaLIcb06,https://www.republicworld.com/world-news/middle-east/united-nations-concerned-over-deteriorating-living-conditions-of-syrians-in-lebanon.html,3,23
Wed Sep 29 16:40:59 +0000 2021,"#CongressBreaksApart | We've all seen how Congress has completely withered away: Rajat Sethi, Political Analyst &amp; A… https://t.co/WctxRrx3EC",https://twitter.com/i/web/status/1443254491113943042,7,57
Wed Sep 29 16:38:56 +0000 2021,"#CongressBreaksApart | In 1948, Gandhiji had spoken of the winding up of the Congress party; he had suggested an al… https://t.co/MAxyiQbhez",https://twitter.com/i/web/status/1443253973410926601,11,60
Wed Sep 29 16:33:56 +0000 2021,"Congress' Randeep Surjewala attempts face-saver, calls Kapil Sibal 'anti-Dalit'

Click below for #LIVE updates from… https://t.co/BCUMrMWO5l",https://twitter.com/i/web/status/1443252716889776129,25,125
Wed Sep 29 16:32:18 +0000 2021,"#CongressBreaksApart | The Debate with Arnab is now #LIVE, on-air and online, here - https://t.co/3AdouRdizw https://t.co/R3pua5owvk",https://www.youtube.com/watch?v=xtoOK86mW8Y,8,65
Wed Sep 29 16:25:08 +0000 2021,"CBSE Class 12 Compartment Result 2021 declared, read how to check it https://t.co/na1GLUCcaj",https://www.republicworld.com/india-news/education/cbse-class-12-compartment-result-2021-declared-read-how-to-check-it.html,1,18
Wed Sep 29 16:24:36 +0000 2021,"2022 UP elections: BJP unveils poll song, lists CM Yogi Adityanath's achievements https://t.co/x4pZGCYMyf",https://www.republicworld.com/india-news/politics/2022-up-elections-bjp-unveils-poll-song-lists-cm-yogi-adityanaths-achievements.html,9,113
